"Bob,Express","El,Rio","Fury","Indiana,River","Mount,Mara,VR","Naga,Bay","Oki,Doki","Revolution","Speedy,Bob","The,Dreamcatcher","Typhoon","Wildwaterbaan",time
5,15,20,25,0,15,20,15,35,20,10,5,20221022 141001
5,15,20,25,0,15,20,15,35,20,10,5,20221022 142001
5,5,20,25,0,15,20,15,35,20,10,5,20221022 143001
5,5,20,25,0,15,20,15,35,20,10,5,20221022 144001
5,5,20,25,0,15,20,15,35,20,10,5,20221022 145001
20,5,30,25,0,10,25,15,20,15,20,25,20221022 150001
20,5,30,25,0,10,25,15,20,15,20,25,20221022 151001
20,5,30,35,0,10,25,15,20,15,20,25,20221022 152001
20,5,30,35,0,10,25,15,20,15,20,25,20221022 153001
20,5,30,35,0,10,25,15,20,15,20,25,20221022 154001
20,10,40,35,0,10,10,15,5,15,20,25,20221022 155001
20,10,40,35,0,10,10,15,5,15,20,25,20221022 160001
20,10,40,35,0,10,10,15,5,15,20,25,20221022 161001
20,10,40,35,0,10,10,15,5,15,20,25,20221022 162001
20,10,40,35,0,10,10,15,5,15,20,25,20221022 163001
20,10,35,20,0,10,10,15,5,15,30,25,20221022 164001
20,10,35,20,0,10,10,15,5,15,30,25,20221022 165001
20,10,35,20,0,10,10,15,5,15,30,25,20221022 170001
0,0,0,0,0,0,0,0,0,0,0,0,20221022 171001
0,0,0,0,0,0,0,0,0,0,0,0,20221022 172001
0,0,0,0,0,0,0,0,0,0,0,0,20221022 173002
0,0,0,0,0,0,0,0,0,0,0,0,20221022 174001
0,0,0,0,0,0,0,0,0,0,0,0,20221022 175001
0,0,0,0,0,0,0,0,0,0,0,0,20221022 180001
0,0,0,0,0,0,0,0,0,0,0,0,20221022 181001
0,0,0,0,0,0,0,0,0,0,0,0,20221022 182001
0,0,0,0,0,0,0,0,0,0,0,0,20221022 183001
0,0,0,0,0,0,0,0,0,0,0,0,20221022 184001
0,0,0,0,0,0,0,0,0,0,0,0,20221022 185001
0,0,0,0,0,0,0,0,0,0,0,0,20221022 190001
0,0,0,0,0,0,0,0,0,0,0,0,20221022 191001
0,0,0,0,0,0,0,0,0,0,0,0,20221022 192001
0,0,0,0,0,0,0,0,0,0,0,0,20221022 193001
0,0,0,0,0,0,0,0,0,0,0,0,20221022 194001
0,0,0,0,0,0,0,0,0,0,0,0,20221022 195001
0,0,0,0,0,0,0,0,0,0,0,0,20221022 200001
0,0,0,0,0,0,0,0,0,0,0,0,20221022 201001
0,0,0,0,0,0,0,0,0,0,0,0,20221022 202001
0,0,0,0,0,0,0,0,0,0,0,0,20221022 203001
0,0,0,0,0,0,0,0,0,0,0,0,20221022 204001
0,0,0,0,0,0,0,0,0,0,0,0,20221022 205001
0,0,0,0,0,0,0,0,0,0,0,0,20221022 210001
0,0,0,0,0,0,0,0,0,0,0,0,20221022 211001
0,0,0,0,0,0,0,0,0,0,0,0,20221022 212001
0,0,0,0,0,0,0,0,0,0,0,0,20221022 213001
0,0,0,0,0,0,0,0,0,0,0,0,20221022 214001
0,0,0,0,0,0,0,0,0,0,0,0,20221022 215001
0,0,0,0,0,0,0,0,0,0,0,0,20221022 220001
0,0,0,0,0,0,0,0,0,0,0,0,20221022 221001
